key=of   value=2526
key=monkey-temper   value=1
key=untying   value=1
key=bonnet:   value=1
key=ate   value=1
key=pie   value=1
key=meat:   value=1
key=wanting   value=2
key=creation.   value=1
key=Plymouth,   value=3
key=fish-auction,   value=1
key=ruling.   value=1
key=o'clock   value=5
key=she'd   value=5
key=standstill.   value=2
key=minute,   value=2
key=baskets   value=2
key=bar-room.   value=1
key=inside,   value=3
key=thick   value=5
key=crew,   value=1
key=_Ye   value=1
key=ear   value=2
key=sing,   value=1
key=Doll,   value=1
key=Kate,   value=1
key=clown   value=1
key=fol-de-rol,   value=6
key=Adam,   value=1
key=creyated,   value=1
key=happiness   value=3
key=complated   value=1
key=found._   value=1
key=_He   value=1
key=Which   value=2
key=life;   value=2
key=foxes   value=1
key=wife,--   value=1
key=fists   value=3
key=hips.   value=1
key=daunted   value=1
key=moment:   value=1
key=finger,   value=1
key=signing   value=1
key=door-post   value=1
key=scrag   value=1
key=neck.   value=4
key=went,   value=3
key=gleeful   value=1
key=_He'd   value=1
key=Perceived   value=1
key=wife.   value=4
key=chaps   value=3
key=wives   value=1
key=overhearin'--   value=1
key=side;   value=1
key=awoke   value=1
key=beyeautiful   value=1
key=bride._   value=1
key='ee   value=1
key=opposite,   value=3
key=fro   value=1
key=Hancock!"   value=1
key=transport   value=2
key=gazèd----'   value=1
key=not,"   value=3
key=tailor,   value=1
key=feelin's.   value=1
key=reely   value=1
key=am.   value=2
key=tradesman!"   value=1
key=company?"   value=1
key=asks,   value=1
key="Old,   value=1
key=faults,   value=1
key=afeared   value=2
key=happy."   value=1
key=stubborn.   value=1
key=yes   value=2
key=man,"   value=5
key=queer   value=1
key="Well,"   value=3
key="to   value=3
key=missus,   value=1
key=naybours,   value=1
key=pretended   value=1
key=again--   value=1
key=complate;   value=1
key=forethought   value=1
key=mate_--   value=1
key=reckon,   value=1
key=reign   value=1
key=tramped   value=2
key=equal   value=3
key=partner   value=2
key=yunited   value=2
key=tree!   value=2
key=wi'   value=1
key=courage   value=1
key="Enough   value=1
key=dear!   value=1
key=We'll   value=1
key=knocked   value=5
key=ashes   value=1
key=budged.   value=1
key=preacher-fellow   value=1
key=nonsense;   value=1
key=false   value=1
key=peace   value=2
key=with,   value=1
key=name;   value=2
key=Oke,"   value=1
key=chalk   value=3
key=pocket.   value=6
key=lords   value=1
key=Thank'ee.   value=1
key=can--Ready?   value=1
key=door:   value=3
key='I,   value=2
key=Sarah   value=3
key=Hancock----'"   value=1
key=WROTE.]   value=1
key=Oke   value=10
key=Hancock--do   value=1
key=Borough--that   value=1
key=Borough--will   value=1
key=statute   value=1
key=paddles   value=1
key=pound   value=1
key=beaten,   value=1
key=discharge   value=1
key=below.'   value=1
key=date,   value=1
key=please--and   value=2
key=chalk."   value=1
key=come'st   value=1
key=tree,   value=3
key=he?   value=2
key=mankind   value=1
key=folks   value=8
key=Runnell's   value=4
key=boat-building   value=1
key=behold!   value=2
key=floated   value=1
key=six-oared   value=2
key=condemned   value=3
key=_Indefatigable_   value=1
key=man-o'-war,   value=1
key=smart   value=3
key=boat.   value=3
key=strakes   value=1
key=plane   value=1
key=brand-new   value=1
key=ashen   value=1
key=ones,   value=1
key=sternboard,   value=1
key=paddled   value=1
key=trial   value=1
key=joke.   value=1
key=view.   value=1
key=George!   value=1
key=leaks   value=1
key=five-barred   value=1
key=somebody.   value=1
key=Admiralty   value=2
key=year'   value=1
key=ago."   value=2
key=Admiralty's   value=1
key=lines--handsome   value=1
key=doesn't   value=1
key=isn't   value=2
key=knowing."   value=1
key=practice,   value=1
key=comes--if   value=1
key=crew.   value=2
key=thwarts   value=1
key=womanned,   value=1
key=it--and   value=1
key=maybe   value=7
key=accident.   value=1
key=business,   value=4
key=Regatta   value=8
key=weeks   value=4
key=fools   value=4
key=sends   value=1
key=crier   value=1
key=Day   value=2
key='O-yessing'   value=1
key=Climo   value=1
key=Ann   value=4
key=roughed-out   value=1
key=stroke.   value=2
key=_nem.   value=1
key=con._   value=1
key=seasons   value=1
key=racing,   value=1
key=doubted   value=3
key=Roper   value=1
key=undertook   value=1
key=arrange   value=1
key=dispute   value=1
key=Hosken,   value=3
key=weight,   value=1
key=mug   value=1
key=wiry,   value=1
key=wrestler:   value=1
key="stank[1]   value=1
key=he'll   value=1
key='ee."   value=1
key=boat-oar.   value=1
key=working   value=6
key=Ede   value=5
key=trusted   value=2
key=bow-side.   value=1
key=long-legged   value=1
key=youngster   value=3
key=Freckly-Faced   value=1
key=saddler's   value=1
key=rowed   value=4
key=candidates.   value=1
key=[Footnote   value=5
key=Stank   value=1
key==   value=1
key=tread.]   value=1
key=slack   value=1
key=sitting   value=5
key=tipping   value=1
key=sheaf   value=2
key=clays   value=1
key=she--   value=1
key=menkind?"   value=1
key=missus;   value=1
key=hear,   value=4
key=they're   value=3
key=restin'   value=1
key="I've   value=3
key=slaps   value=1
key=sovereign   value=1
key=responsibility.   value=1
key=hey?"   value=2
key=publicker   value=1
key=ask   value=15
key=Worship   value=2
key=chuckling   value=2
key=managed   value=6
key=bespeak   value=1
key=belonging   value=2
key=Woman_.   value=1
key=strong-box,   value=1
key=bag   value=4
key=arm?"   value=1
key=talk,   value=1
key=Oke--thanking   value=1
key=door.   value=12
key=nap   value=2
key=burying   value=1
key=wife,   value=7
key=sleep   value=6
key=visitors'   value=1
key=he:   value=2
key=Regatta-bill.   value=1
key=attract   value=1
key=visitors.   value=1
key=She"--meaning   value=1
key=her."   value=2
key=gills   value=1
key=mentioned   value=2
key="you've   value=2
key=a-let   value=1
key=cat   value=1
key=league.   value=1
key=mustn't   value=3
key=cheerful,   value=1
key=deceive   value=1
key=down.   value=2
key=tearing   value=1
key=training-ship   value=1
key=mark-boat   value=1
key=Torpoint,   value=3
key=Quay.   value=1
key=dears,"   value=1
key=sly   value=1
key=he've   value=1
key="Seth   value=1
key=Ede's   value=1
key=oar,"   value=1
key=objected.   value=1
key="_Was_,   value=1
key=mean.   value=1
key=He've   value=1
key=a-drunk   value=1
key=five-mile   value=1
key=course;   value=2
key=distance.   value=2
key=they've   value=3
key=bullock."   value=1
key=dessay:   value=1
key=pulls   value=1
key=thirty-nine   value=1
key=racing--never   value=1
key=miles   value=8
key=_that_,   value=1
key=pig--in   value=1
key=They've   value=2
key=told;   value=1
key=She's   value=2
key=pretty.   value=1
key=aft   value=4
key=weights   value=1
key=bows:   value=1
key=she's   value=4
key=_Woman_   value=1
key=speed   value=1
key=fast,   value=4
key=_see_   value=1
key=travels   value=2
key=Mounseers   value=1
key=oh,   value=2
key="Shan't   value=1
key=happens,"   value=1
key=bow-oar   value=1
key=Pengelly,   value=9
key=practice:   value=1
key=boat--she   value=1
key=Guppy   value=1
key=swore   value=4
key=unfair.   value=1
key=lodge   value=1
key=anyways   value=1
key=Dundalk."   value=1
key=needn't   value=2
key=boats   value=1
key=practising;   value=1
key=timmersome,   value=1
key=Borough   value=1
key=disgrace.   value=1
key=though;   value=1
key=surpassed   value=1
key=daresay   value=4
key=tarpaulin-hat   value=1
key=stuck   value=6
key=plaited   value=1
key=queue   value=1
key=danced.   value=1
key=onwomanly,"   value=1
key=off!"   value=1
key="Ch't,"   value=1
key="if   value=6
key=narra   value=1
key=escape;   value=1
key=costume   value=1
key=wear--and   value=1
key=measure   value=1
key=told,   value=3
key=women's   value=1
key=men's   value=3
key=Woman_:   value=1
key=half;   value=2
key=bone;   value=1
key=Stroke,   value=2
key=four;   value=1
key=Coxswain,   value=1
key=Wilhelmina,   value=1
key=distaff   value=1
key=bows,   value=1
key=jerseys   value=1
key=Jago,   value=1
key=Freckly-faced   value=1
key=_Nonpareil_   value=5
key=flag,   value=1
key=blue.   value=1
key=pistol;   value=1
key=jumping   value=1
key=sweetly   value=1
key=steadily,   value=2
key=longest   value=1
key=minutes   value=8
key=starting,   value=1
key=down--for   value=1
key=course--and   value=1
key=pulling   value=9
key=quickened   value=1
key=sheer   value=4
key=thirty-four   value=4
key=yards   value=16
key=finish;   value=1
key=Folks   value=1
key=shore   value=8
key=timed   value=1
key=feat,   value=1
key=accounted   value=1
key=declaring   value=1
key=verse   value=2
key=tooral-i-lay--We'll   value=1
key=that!   value=1
key=lengths   value=1
key=astern.   value=1
key=steady,   value=2
key=clean   value=5
key=finish,   value=1
key=hand-over-fist.   value=1
key=passenger--an   value=1
key=Ede--to   value=1
key=justice--pulled   value=1
key=overlap   value=1
key=vicious-like,   value=1
key=procession.   value=1
key="Eyes   value=1
key=commanded   value=5
key=ragged.   value=1
key=winding   value=3
key=level   value=3
key=cheering.   value=1
key="Look   value=6
key=quicken   value=1
key=rattled   value=3
key=winning-gun   value=1
key=minute!   value=1
key=oars:   value=2
key=gasping   value=1
key=Sal!"   value=1
key="Oh--oh--well   value=1
key=all!"   value=3
key=letting   value=3
key=ashore,   value=2
key=hoarse.   value=1
key=sorry   value=9
key=crawled   value=3
key=home:   value=2
key=handsome.   value=1
key=Sal's   value=3
key=shake   value=4
key=landed,   value=2
key=speech.   value=1
key=sweat   value=1
key=brow;   value=1
key=house-door:   value=1
key=thanks,   value=1
key=victory   value=1
key=feelings,   value=2
key=She'd   value=1
key=spied   value=7
key=idol,   value=1
key=stitching   value=1
key=you?"   value=10
key="Work,"   value=1
key="Work   value=1
key=matter.   value=4
key=you,"   value=4
key=cheerfully.   value=3
key=inquiring   value=1
key=waistcoat?"   value=1
key=not."   value=1
key=patient   value=2
key=excuses."   value=1
key=with.   value=1
key=betting   value=1
key=_Someone_   value=1
key=winds   value=1
key=tolerable   value=1
key=imitation   value=1
key=hacking   value=1
key=pairs   value=2
key=soles   value=1
key=brill   value=1
key=trammel   value=1
key=ever!   value=1
key=race;   value=1
key=Quay,   value=3
key=blue-wash   value=1
key=rub   value=3
key=spy   value=3
key=Madam,"   value=1
key=_I_   value=3
key=reason--specially   value=1
key=Return,   value=2
key=anyhow,   value=1
key=ordered   value=7
key="Just   value=2
key=celebrate   value=1
key=occasion.   value=1
key=Green   value=1
key=Dragon:   value=1
key=voted   value=1
key=cosiness:   value=1
key=roast   value=1
key=ducks   value=1
key=leg   value=4
key=gin-and-water."   value=1
key="There'll   value=1
key=kettle,   value=1
key=tantrums:   value=1
key=t'wards   value=1
key=him--treating   value=1
key=agreeable   value=1
key=sulked.   value=1
key=_all_   value=1
key=fun,"   value=1
key=last:   value=1
key=jug   value=3
key=shut-to   value=1
key=candle,   value=2
key=perversity,   value=1
key=enjoyed   value=2
key=wrought   value=1
key=thinking,   value=3
key=galling   value=2
key=bone,   value=1
key=carousin'   value=1
key=Return!   value=1
key=gone;   value=1
key=misunderstood   value=1
key=cymbals   value=1
key=showmen   value=1
key=yelling   value=2
key=baiting   value=1
key=field   value=2
key=officer   value=18
key=charge!   value=1
key=meaning   value=4
key=ships   value=3
key=Night   value=3
key=street.   value=3
key=stock   value=1
key=nasty   value=1
key=monkey-notion   value=1
key=nature;   value=1
key=pushing   value=3
key=wider   value=1
key=officer--he   value=1
key=pardon,   value=3
key=snaps   value=1
key=hackin'   value=1
key=cough!"   value=1
key="So   value=7
key=humbly,   value=1
key=haul.   value=1
key=theirselves   value=1
key=with----"   value=1
key=interrupts,   value=1
key=boldly,   value=2
key=like;   value=1
key=please.   value=2
key=quay-door?"   value=1
key=promise   value=7
key=alongside."   value=1
key=gang:   value=1
key=presently   value=6
key=marched   value=6
key=hill.   value=2
key=reads   value=2
key=shop-front.   value=1
key=reward,   value=1
key=said:   value=2
key=inside.   value=1
key=informers."   value=1
key='Twould   value=1
key=anyway,   value=1
key=sailors   value=1
key=martyr,   value=1
key=Anchor.   value=1
key=assembled   value=1
key=burgesses   value=1
key=protection-papers   value=1
key=wildfire,   value=1
key=Among   value=3
key=Caius   value=2
key=bow   value=2
key="Terrible   value=1
key=us,   value=19
key=company's   value=1
key=sour.   value=1
key="We'd   value=1
key=suthin'   value=1
key=to-day,   value=2
key=who's   value=1
key=you--_you_,   value=1
key="Indeed?"   value=1
key=out,"   value=2
key=uncrossed   value=1
key=conspicuous--"ah,   value=1
key=press-gang!   value=1
key=subject."   value=1
key="Us   value=1
key='ee,"   value=1
key=sleeve,   value=3
key=invention,"   value=1
key="no   value=1
key=race,   value=1
key=squeal.   value=1
key=clock   value=1
key=strikes   value=4
key=approve   value=1
key=myself;   value=1
key=story   value=3
key=Return:   value=1
key=Dutchman,   value=1
key="Bejimbers,   value=1
key=Hancock,"   value=1
key=uneasy,   value=1
key=say!"   value=2
key="Far?   value=1
key=jolly   value=1
key=joke,   value=3
key=cross   value=7
key=Return.   value=1
key=done!   value=1
key=gang!   value=1
key=kilt,   value=1
key=wounded   value=3
key=a-bound   value=1
key=shipped   value=2
key=open.   value=3
key=sick.   value=1
key=rounded   value=2
key=squeaked.   value=1
key=miserable   value=1
key=Pengelly.   value=3
key=c-can't   value=1
key=earnest!"   value=1
key=clasp-knife   value=1
key=long.   value=1
key=know!   value=1
key=inquired!   value=1
key=Pengelly!   value=1
key=Han't   value=1
key=vessels   value=1
key=Cawsand,"   value=1
key=weigh   value=2
key=chase."   value=1
key=Someone   value=3
key=suggested   value=1
key=Woman_,   value=1
key=lying   value=11
key=Yard;   value=1
key=gig   value=2
key=tumbled   value=2
key=stern-sheets.   value=1
key=advice:   value=1
key=belonged.   value=1
key=hated   value=3
key=chilly,   value=1
key=lop   value=1
key=elected   value=1
key=across:   value=1
key=did--though   value=1
key=stern-windows   value=1
key=poked   value=3
key=taffrail.   value=1
key="Ship   value=1
key=Saltash?"   value=1
key=saluting.   value=2
key="Want   value=1
key=Saltash."   value=1
key=slops   value=1
key='em,"   value=1
key=haven't."   value=1
key=knew,   value=1
key=mile.   value=1
key=ship,   value=2
key=abuse   value=1
key=chopped   value=1
key=sea   value=4
key=sorely.   value=2
key=prison-hulks,   value=1
key=sheered   value=1
key=rattle.   value=1
key=water-police,   value=1
key=lock-up   value=1
key=guard-ship,   value=1
key=palaver   value=1
key=Admiral   value=3
key=nightshirt.   value=1
key=blessed   value=4
key=ached   value=1
key=weariness   value=1
key=hunger.   value=1
key=Devil's   value=1
key=Point   value=1
key=thole-pins,   value=1
key=dark--the   value=1
key=squalls   value=2
key=dying   value=5
key=Drake's   value=1
key=Sound   value=1
key=Cawsand   value=2
key=Bay,"   value=1
key=sea."   value=1
key=pulled,   value=1
key=hour,   value=6
key=eased   value=2
key=daybreak,   value=1
key=sloops-of-war   value=1
key=frigate   value=4
key=Pulling   value=1
key=chain   value=2
key=shortened   value=1
key=top-sails   value=1
key=sails   value=1
key=hauling   value=1
key=manning   value=1
key=coat-tails.   value=1
key="Lord!"   value=1
key=groaned   value=2
key=Ann's   value=1
key=her!"   value=2
key=Small   value=1
key=contrary:   value=1
key=telescope   value=1
key=weakly,   value=1
key=capstan   value=1
key=orders.   value=1
key=expectin'   value=1
key=casts   value=2
key=gasp.   value=1
key=bearing   value=4
key=close-hauled,   value=1
key=ginger-beer   value=1
key=sighted   value=1
key=half-mile   value=1
key=eyes--oh,   value=1
key=Pengelly:   value=1
key=helmsman.   value=1
key=leaping   value=1
key=rousing   value=1
key=kick.   value=2
key=orficer   value=1
key=hoisted   value=1
key=thwart,   value=1
key=straining   value=2
key=overside.   value=2
key="Pull   value=1
key=pull,   value=1
key=tender,   value=2
key=watching--and   value=1
key=hold.   value=1
key=hatchway,   value=1
key=clung   value=3
key=stern   value=4
key=owned   value=2
key=sharp   value=3
key=overhead,   value=4
key=saying:   value=1
key=haul,   value=1
key=Sir--thanks   value=1
key=Captain   value=9
key=you--it   value=1
key=grain   value=1
key=law's   value=1
key=we're   value=3
key=short."   value=1
key=SHEET.]   value=1
key=make,   value=1
key=marry   value=2
key=pea-green   value=1
key=unshredding   value=1
key=bulwarks,   value=1
key=wonderment.   value=1
key=beg   value=11
key=mistake."   value=1
key=came.   value=1
key=have,   value=3
key=viciously   value=1
key=career.   value=1
key=adds,   value=1
key=hands."   value=1
key=heartily.   value=1
key=prayers."   value=1
key=philosophical   value=1
key=pastime   value=1
key=angling   value=3
key=better;   value=2
key=water-colours   value=1
key=hitch   value=2
key=drops   value=2
key=thereat   value=1
key=tranquil?   value=1
key=no:   value=4
key=week.   value=1
key=August,   value=2
key=1644--a   value=1
key=shady   value=3
key=Boconnoc,   value=1
key=Mohun's   value=1
key=monuments   value=2
key=soldier   value=4
key=Essex   value=5
key=squire;   value=2
key=troop   value=8
key=leisure   value=2
key=studies   value=1
key=army.   value=1
key=1st   value=1
key=daily   value=1
key=harbour's   value=1
key=shipping.   value=1
key=back-door   value=2
key=lock,   value=1
key=half-heartedly;   value=1
key=hopes   value=4
key=enemy   value=7
key=letters   value=2
key=moors   value=1
key=picquer   value=1
key=rebel   value=3
key=recreation;   value=1
key=Lord!   value=2
key=antiquary   value=2
key=soldiering!   value=1
key=afternoon   value=4
key=box   value=1
key=holidays,   value=1
key=realm   value=1
key=history   value=3
key=scutcheons,   value=2
key=Earls   value=1
key=Somerset,   value=1
key=Lords   value=1
key=Conqueror--   value=1
key=_Le   value=1
key=Moion   value=1
key=Ont   value=1
key=maint   value=1
key=compagnon_,   value=1
key=remembered:   value=1
key=chancel   value=4
key=royal   value=1
key=engrailed   value=1
key=_sable_   value=1
key=Edward,   value=1
key=slain   value=1
key=Courtenay's   value=1
key=FitzWilliam's   value=1
key=bendlets,   value=1
key=Brewer,   value=1
key=Strange   value=1
key=antlers   value=1
key=depressed   value=1
key=Hayre),   value=1
key=_azure_   value=3
key=_or_,   value=3
key=label   value=2
key="Scrope   value=1
key=Grosvenor,"   value=1
key=myself,   value=6
key=scutcheon   value=1
key=parts."   value=1
key=quartered   value=2
key=Courtenay   value=1
key=(1)   value=1
key=(originally   value=1
key=doubt);   value=1
key=(2)   value=1
key=(?Hayre);   value=1
key=(3)   value=1
key=(4)   value=1
key=habited   value=1
key=maunch,   value=1
key=_ermine_,   value=1
key=flower.   value=1
key=sexton.   value=1
key=grass   value=2
key=clothes   value=9
key=scrap   value=2
key=sacking   value=1
key=over-warm   value=1
key=year.   value=2
key=conning   value=1
key=witness   value=2
key=perplex   value=1
key=trice   value=3
key=myself.   value=4
key=taste   value=4
key=trifles?"   value=1
key=Sir."   value=4
key=look.   value=1
key=parts,"   value=1
key=he;   value=3
key=oblivion,   value=1
key=dexter--the   value=1
key=Mohuns,   value=1
key=sable   value=1
key=sleeve:   value=1
key=abbey   value=2
key=Newenham,   value=1
key=border.   value=1
key=Henry   value=1
key=Third's   value=2
key=time--I   value=1
key=forty-six   value=1
key=Rome,   value=1
key=Lent,   value=1
key=Jerusalem_,   value=1
key=inquiry   value=1
key=Mohun   value=3
key='Fair   value=1
key=son,'   value=1
key=Pope,   value=1
key='hardly   value=1
key=flower,   value=1
key=Duke,   value=1
key=Earl;   value=1
key=Este'--which,   value=1
key=Somerset.   value=1
key='Holy   value=1
key=Father,   value=1
key=wherewithal   value=1
key=title.'   value=1
key=marks   value=1
key=Peter's   value=1
key=flowers   value=1
key=_or_?   value=1
key=Grosvenor   value=3
key=wed   value=1
key=surprised   value=2
key=contended."   value=1
key=Carminowe."   value=2
key=musing.   value=1
key="_Finis   value=1
key=and--as   value=1
key=me--lingers   value=1
key=overlong.   value=1
key=camp.   value=3
key=contemplative   value=1
key=two?"   value=1
key=unmarried?"   value=1
key=volunteered   value=1
key=hot-fit   value=2
key=indignation   value=1
key=insolence   value=1
key=Parliament?   value=1
key=cooling   value=1
key=rare,   value=1
key=amiss?"   value=1
key=passion   value=3
key=loyalty   value=1
key=quest   value=1
key=fancied   value=2
key=swept   value=3
key=upheaving   value=1
key=altered   value=2
key=has!"   value=1
key=awhile!   value=1
key=years?--two   value=1
key=observe   value=3
key=ambitions   value=1
key=limits,   value=2
key=thousands   value=1
key=by,   value=3
key=particles   value=1
key=returning   value=4
key=gentlemen   value=10
key=skirmish,   value=3
key=coarser   value=1
key=lusting   value=1
key=knaves,   value=1
key=war   value=3
key=wasteful,   value=1
key=robbing   value=2
key=risk;   value=1
key=calculators   value=1
key=Wilmot,   value=1
key=Goring,   value=1
key=fence   value=2
key=interests   value=2
key=groom   value=1
key="To   value=10
key=sure--a   value=1
key=method,   value=1
key=soldierly   value=1
key=duties!   value=1
key=drawings.   value=1
key=stung   value=1
key=Sir?"   value=3
key="Come,"   value=1
key=churchyard.   value=3
key=beams   value=4
key=gravestones   value=1
key=prospect.   value=1
key=waved   value=3
key="From   value=1
key=seas;   value=1
key=Normans   value=1
key=Carminowe   value=8
key=after."   value=1
key=green   value=3
key=son."   value=1
key=patiently   value=1
key=dissenting.   value=1
key=outlive   value=1
key=casting   value=1
key=galloping   value=1
key=northward   value=1
key=Colonel   value=2
key="Wyvern!"   value=1
key=person.   value=2
key=letter;   value=1
key=mount   value=2
key=ridge."   value=1
key=mounted   value=6
key="Tell   value=1
key=stirrups,   value=2
key=shading   value=2
key=rise.   value=1
key=dressed   value=2
key=white."   value=1
key=shirts,   value=1
key=dogs!   value=1
key="Tush!"   value=1
key=Horse   value=1
key=dared   value=2
key=breeches,   value=3
key=boys,   value=1
key=chuckle   value=2
key=(That   value=1
key=propositions;   value=1
key=authority   value=1
key=trust.)   value=1
key=overblown   value=1
key=submission,   value=1
key=Colonel,"   value=1
key=answer,   value=4
key=agree,"   value=1
key=way."   value=1
key=volunteers,   value=1
key=neither."   value=1
key=fools!"   value=1
key=me:   value=7
key="You,   value=2
key=sport--is   value=1
key=Now--as   value=1
key=it--our   value=1
key=Colonel's   value=1
key=person,   value=1
key=striven   value=2
key=compliment;   value=1
key=hottest   value=1
key=Carminowe's   value=4
key=true.   value=1
key=bravery   value=1
key=fighting:   value=1
key=emptily   value=1
key=civil   value=1
key=pursuits,   value=1
key=caution   value=1
key=albeit,   value=1
key=fervour   value=1
key=gaze,   value=2
key=Digby   value=1
key=fighter   value=2
key=trained   value=2
key=vanities.   value=1
key=folly   value=2
key=afoot   value=1
key=inevitable,   value=1
key=Other   value=1
key=spurred   value=2
key=together.   value=4
key=waste   value=5
key=combat.   value=1
key=shirt-sleeves   value=1
key=slopes,   value=1
key=pistol-fire   value=1
key=quarters,   value=1
key=effect.   value=2
key=sounded   value=3
key="charge,"   value=1
key=popping   value=1
key=strides   value=1
key=infection   value=1
key=army,   value=3
key=swerves   value=1
key=presses   value=1
key=on:   value=1
key=flight;   value=1
key=foes,   value=1
key=nimbly.   value=1
key=round-pate,   value=1
key=charger's   value=1
key=shoulder-pin.   value=1
key=deliver   value=3
key=brute's   value=1
key=moodily   value=1
key=regiments   value=4
key=Lestithiel,   value=2
key=Boconnoc--a   value=1
key=arches,   value=2
key=tidal   value=1
key=Fowey   value=2
key=strength;   value=1
key=Exchequer   value=1
key=Dukes   value=1
key=accounts,   value=1
key=debtors   value=1
key=offenders   value=1
key=Stannary.   value=1
key=crowded   value=1
key=prisoners   value=3
key=rebels,   value=1
key=Provost   value=1
key=Marshal   value=1
key=captive   value=1
key=guard   value=9
key=ceremonious   value=1
key=fashion   value=5
key=cavalry   value=4
key=stable,   value=1
key=defiled   value=1
key=King;   value=1
key=practised   value=1
key=blasphemy   value=1
key=sojourn   value=1
key=feeding   value=1
key=soberly   value=1
key=stable.   value=1
key=fed   value=1
key=incivility;   value=1
key=request   value=3
key=spared.   value=1
key=Trecarrel   value=14
key=saluted   value=3
key=boot;   value=1
key=ribs.   value=1
key=tumble,   value=1
key=nausea.   value=1
key=troopers,   value=2
key=breeches'   value=1
key=Roundhead   value=1
key=sergeant,   value=1
key=discovering   value=2
key=cards   value=4
key=dwelt   value=1
key=(August   value=1
key=10)   value=1
key=cheerfully;   value=1
key=injury,   value=1
key=Jacob   value=1
key=seizing   value=1
key=forts   value=3
key=Haven   value=1
key=wherefore   value=1
key=ourselves   value=2
key=surrender   value=3
key=choose,   value=2
key=composing   value=1
key=reader.   value=1
key=ingenious   value=1
key=CoMes   value=1
key="Long   value=1
key=Latin   value=3
key=Roman   value=7
key=numerals--and   value=1
key=Annus   value=1
key=1644:   value=1
key=way--   value=1
key=sixteen   value=4
key=}   value=5
key=_and_   value=3
key=1644.   value=1
key=four_   value=1
key=troubles:   value=1
key=only)   value=1
key=foot-soldiers   value=2
key=rope,   value=1
key=departed.   value=1
key=gone,   value=3
key=by-and-by   value=6
key=prisoner,   value=2
key=trussed   value=1
key=cheer   value=1
key=morrow.   value=2
key=loosed,   value=1
key=aisle   value=2
key=uncertainly   value=1
key=belfry:   value=1
key=_you_?"   value=1
key=misfortune)   value=1
key=_you_."   value=1
key=bowed   value=6
key=months:   value=1
key=alive   value=1
key=might--stared   value=1
key=madman.   value=1
key="Excuse   value=3
key=formally.   value=1
key=musingly.   value=2
key="have   value=1
key=Grylls,   value=4
key=greed   value=1
key=(which,   value=1
key=crop-ears   value=1
key=inherit."   value=1
key=days'   value=3
key=coast   value=2
key=eaten   value=3
key=bare;   value=1
key=handing   value=2
key=yet,"   value=1
key=spy--though   value=1
key=us--and   value=1
key=too--stared   value=1
key=amazed:   value=1
key=occupied,   value=1
key=rope.   value=2
key=someone   value=6
key=Teath   value=1
key=parish,   value=4
key=pillaged.   value=1
key=outpost   value=1
key=duty,   value=2
key=fight."   value=1
key=revocamus   value=1
key=honores_,   value=1
key=Carminowes.   value=1
key=paint   value=3
key=ancestral   value=1
key=flower:   value=1
key=wither.   value=1
key=blind   value=5
key=obloquy   value=1
key=quarrel   value=1
key=gods:   value=1
key=complaint   value=1
key=disdain   value=1
key=little.   value=1
key=hand:   value=1
key=unfortunately   value=2
key=hedges,   value=1
key=road;   value=1
key=design.   value=1
key=supposing   value=6
key=concern   value=3
key=closer,   value=1
key=lane,   value=1
key=eyesight,   value=1
key=sergeants   value=1
key=message   value=3
key=Goring.   value=1
key='Give   value=1
key=password,   value=1
key=say?'   value=1
key=hedge   value=2
key=stars   value=2
key=morions   value=1
key=breastplates.   value=1
key=rebels;   value=1
key=escaped   value=7
key=warning   value=4
key=password.   value=1
key=tell.   value=2
key=here;   value=2
key=mouth   value=6
key=ever.   value=2
key=betrayed,   value=1
key=Carminowe?"   value=1
key=early,"   value=1
key=sketching   value=1
key=Boconnoc.   value=1
key=blazonries:   value=1
key=three-pointed   value=1
key=difference.   value=1
key=right,"   value=1
key=label."   value=1
key=arms;   value=1
key=knights   value=1
key=appointed   value=1
key=controversy   value=1
key=lineage   value=1
key=armed   value=1
key=Arthur.   value=1
key=curious,"   value=1
key=awake   value=3
key=Majesty--as   value=1
key=will--and   value=1
key=destroyed   value=2
key=honour,   value=2
key=such-like   value=1
key=hopeless,   value=1
key=chronogramma,   value=1
key=con   value=1
key=comrades,   value=1
key=jogged,   value=1
key=wakened   value=1
key=brows   value=1
key=awhile,   value=1
key=paper),   value=1
key=trooper   value=1
key=lip   value=2
key=stirred   value=1
key=obediently,   value=1
key=rouse   value=1
key=intended.   value=1
key="Heaven   value=2
key=endeavoured   value=1
key=wise.   value=2
key="Most   value=1
key=ingenious!"   value=1
key=riddle,   value=1
key=observant   value=1
key=preparations.   value=1
key="Hist!"   value=3
key=stable-lanterns   value=1
key=shone   value=3
key=cushion   value=1
key=altar   value=1
key=altar-step,   value=1
key=pillow)   value=1
key=bivouacked,   value=1
key=posted;   value=1
key=dead-wall   value=1
key=prison.   value=2
key=crouching   value=2
key=imitating   value=1
key=backing   value=1
key=lantern's   value=1
key=rays,   value=2
key=arch.   value=1
key=signalled   value=1
key=rises   value=1
key=chamber   value=4
key=approached,   value=2
key=trapway   value=2
key=ground.   value=4
key=captivity   value=1
key=Trecarrel's   value=2
key=knelt   value=2
key=unlaced   value=1
key=eying   value=1
key=belfry.   value=1
key=stonework   value=1
key=sure.   value=1
key=Our   value=3
key=enemies   value=1
key=passed;   value=1
key=footfall,   value=1
key="Blow   value=1
key=light,"   value=1
key=commanded--and,   value=1
key=whisper   value=2
key=candle--the   value=1
key=stiff."   value=1
